"","FECHA","CLASE","DIA_NOMBRE","PERIODO","ESPECIAL","ACCIDENTES"
"284",2019-02-18,"CAIDA_OCUPANTE","LUNES",2019,0,11
"285",2019-02-18,"CHOQUE","LUNES",2019,0,81
"286",2019-02-18,"INCENDIO","LUNES",2019,0,1
"287",2019-02-18,"OTRO","LUNES",2019,0,13
"288",2019-02-18,"VOLCAMIENTO","LUNES",2019,0,4
"289",2019-02-19,"ATROPELLO","MARTES",2019,0,13
"290",2019-02-19,"CAIDA_OCUPANTE","MARTES",2019,0,11
"291",2019-02-19,"CHOQUE","MARTES",2019,0,86
"292",2019-02-19,"INCENDIO","MARTES",2019,0,1
"293",2019-02-19,"OTRO","MARTES",2019,0,14
"294",2019-02-19,"VOLCAMIENTO","MARTES",2019,0,4
"295",2019-02-20,"ATROPELLO","MIERCOLES",2019,0,13
"296",2019-02-20,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"297",2019-02-20,"CHOQUE","MIERCOLES",2019,0,84
"298",2019-02-20,"INCENDIO","MIERCOLES",2019,0,1
"299",2019-02-20,"OTRO","MIERCOLES",2019,0,14
"300",2019-02-20,"VOLCAMIENTO","MIERCOLES",2019,0,4
"301",2019-02-21,"ATROPELLO","JUEVES",2019,0,13
"302",2019-02-21,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"303",2019-02-21,"CHOQUE","JUEVES",2019,0,83
"304",2019-02-21,"INCENDIO","JUEVES",2019,0,1
"305",2019-02-21,"OTRO","JUEVES",2019,0,13
"306",2019-02-21,"VOLCAMIENTO","JUEVES",2019,0,4
"307",2019-02-22,"ATROPELLO","VIERNES",2019,0,13
"308",2019-02-22,"CAIDA_OCUPANTE","VIERNES",2019,0,12
"309",2019-02-22,"CHOQUE","VIERNES",2019,0,88
"310",2019-02-22,"INCENDIO","VIERNES",2019,0,1
"311",2019-02-22,"OTRO","VIERNES",2019,0,14
"312",2019-02-22,"VOLCAMIENTO","VIERNES",2019,0,4
"313",2019-02-23,"ATROPELLO","SABADO",2019,0,12
"314",2019-02-23,"CAIDA_OCUPANTE","SABADO",2019,0,10
"315",2019-02-23,"CHOQUE","SABADO",2019,0,79
"316",2019-02-23,"INCENDIO","SABADO",2019,0,1
"317",2019-02-23,"OTRO","SABADO",2019,0,13
"318",2019-02-23,"VOLCAMIENTO","SABADO",2019,0,4
"319",2019-02-24,"ATROPELLO","DOMINGO",2019,0,8
"320",2019-02-24,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"321",2019-02-24,"CHOQUE","DOMINGO",2019,0,53
"322",2019-02-24,"INCENDIO","DOMINGO",2019,0,1
"323",2019-02-24,"OTRO","DOMINGO",2019,0,9
"324",2019-02-24,"VOLCAMIENTO","DOMINGO",2019,0,3
"325",2019-02-25,"ATROPELLO","LUNES",2019,0,12
"326",2019-02-25,"CAIDA_OCUPANTE","LUNES",2019,0,11
"327",2019-02-25,"CHOQUE","LUNES",2019,0,81
"328",2019-02-25,"INCENDIO","LUNES",2019,0,1
"329",2019-02-25,"OTRO","LUNES",2019,0,13
"330",2019-02-25,"VOLCAMIENTO","LUNES",2019,0,4
"331",2019-02-26,"ATROPELLO","MARTES",2019,0,13
"332",2019-02-26,"CAIDA_OCUPANTE","MARTES",2019,0,11
"333",2019-02-26,"CHOQUE","MARTES",2019,0,86
"334",2019-02-26,"INCENDIO","MARTES",2019,0,1
"335",2019-02-26,"OTRO","MARTES",2019,0,14
"336",2019-02-26,"VOLCAMIENTO","MARTES",2019,0,4
"337",2019-02-27,"ATROPELLO","MIERCOLES",2019,0,13
"338",2019-02-27,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"339",2019-02-27,"CHOQUE","MIERCOLES",2019,0,84
"340",2019-02-27,"INCENDIO","MIERCOLES",2019,0,1
"341",2019-02-27,"OTRO","MIERCOLES",2019,0,14
"342",2019-02-27,"VOLCAMIENTO","MIERCOLES",2019,0,4
"343",2019-02-28,"ATROPELLO","JUEVES",2019,0,13
"344",2019-02-28,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"345",2019-02-28,"CHOQUE","JUEVES",2019,0,84
"346",2019-02-28,"INCENDIO","JUEVES",2019,0,1
"347",2019-02-28,"OTRO","JUEVES",2019,0,14
"348",2019-02-28,"VOLCAMIENTO","JUEVES",2019,0,4
"349",2019-03-01,"ATROPELLO","VIERNES",2019,0,13
"350",2019-03-01,"CAIDA_OCUPANTE","VIERNES",2019,0,12
"351",2019-03-01,"CHOQUE","VIERNES",2019,0,88
"352",2019-03-01,"INCENDIO","VIERNES",2019,0,1
"353",2019-03-01,"OTRO","VIERNES",2019,0,14
"354",2019-03-01,"VOLCAMIENTO","VIERNES",2019,0,4
"355",2019-03-02,"ATROPELLO","SABADO",2019,0,12
"356",2019-03-02,"CAIDA_OCUPANTE","SABADO",2019,0,10
"357",2019-03-02,"CHOQUE","SABADO",2019,0,79
"358",2019-03-02,"INCENDIO","SABADO",2019,0,1
"359",2019-03-02,"OTRO","SABADO",2019,0,13
"360",2019-03-02,"VOLCAMIENTO","SABADO",2019,0,4
"361",2019-03-03,"OTRO","DOMINGO",2019,0,9
"362",2019-03-03,"VOLCAMIENTO","DOMINGO",2019,0,3
"363",2019-03-03,"ATROPELLO","DOMINGO",2019,0,8
"364",2019-03-03,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"365",2019-03-03,"CHOQUE","DOMINGO",2019,0,53
"366",2019-03-03,"INCENDIO","DOMINGO",2019,0,1
"367",2019-03-04,"CHOQUE","LUNES",2019,1,63
"368",2019-03-04,"VOLCAMIENTO","LUNES",2019,1,3
"369",2019-03-04,"OTRO","LUNES",2019,1,10
"370",2019-03-04,"INCENDIO","LUNES",2019,1,1
"371",2019-03-04,"CAIDA_OCUPANTE","LUNES",2019,1,8
"372",2019-03-04,"ATROPELLO","LUNES",2019,1,10
"373",2019-03-05,"ATROPELLO","MARTES",2019,0,13
"374",2019-03-05,"CAIDA_OCUPANTE","MARTES",2019,0,11
"375",2019-03-05,"CHOQUE","MARTES",2019,0,86
"376",2019-03-05,"INCENDIO","MARTES",2019,0,1
"377",2019-03-05,"OTRO","MARTES",2019,0,14
"378",2019-03-05,"VOLCAMIENTO","MARTES",2019,0,4
"379",2019-03-06,"ATROPELLO","MIERCOLES",2019,0,13
"380",2019-03-06,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"381",2019-03-06,"CHOQUE","MIERCOLES",2019,0,84
"382",2019-03-06,"INCENDIO","MIERCOLES",2019,0,1
"383",2019-03-06,"OTRO","MIERCOLES",2019,0,14
"384",2019-03-06,"VOLCAMIENTO","MIERCOLES",2019,0,4
"385",2019-03-07,"ATROPELLO","JUEVES",2019,0,13
"386",2019-03-07,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"387",2019-03-07,"CHOQUE","JUEVES",2019,0,84
"388",2019-03-07,"INCENDIO","JUEVES",2019,0,1
"389",2019-03-07,"OTRO","JUEVES",2019,0,14
"390",2019-03-08,"ATROPELLO","VIERNES",2019,0,13
"391",2019-03-08,"CAIDA_OCUPANTE","VIERNES",2019,0,12
"392",2019-03-08,"CHOQUE","VIERNES",2019,0,88
"393",2019-03-08,"INCENDIO","VIERNES",2019,0,1
"394",2019-03-08,"OTRO","VIERNES",2019,0,14
"395",2019-03-08,"VOLCAMIENTO","VIERNES",2019,0,4
"396",2019-03-09,"OTRO","SABADO",2019,0,13
"397",2019-03-09,"VOLCAMIENTO","SABADO",2019,0,4
"398",2019-03-09,"ATROPELLO","SABADO",2019,0,12
"399",2019-03-09,"CAIDA_OCUPANTE","SABADO",2019,0,10
"400",2019-03-09,"CHOQUE","SABADO",2019,0,79
"401",2019-03-09,"INCENDIO","SABADO",2019,0,1
"402",2019-03-10,"ATROPELLO","DOMINGO",2019,0,8
"403",2019-03-10,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"404",2019-03-10,"CHOQUE","DOMINGO",2019,0,53
"405",2019-03-10,"INCENDIO","DOMINGO",2019,0,1
"406",2019-03-10,"OTRO","DOMINGO",2019,0,9
"407",2019-03-11,"ATROPELLO","LUNES",2019,0,12
"408",2019-03-11,"CAIDA_OCUPANTE","LUNES",2019,0,11
"409",2019-03-11,"CHOQUE","LUNES",2019,0,81
"410",2019-03-11,"INCENDIO","LUNES",2019,0,1
"411",2019-03-11,"OTRO","LUNES",2019,0,13
"412",2019-03-12,"ATROPELLO","MARTES",2019,0,13
"413",2019-03-12,"CAIDA_OCUPANTE","MARTES",2019,0,11
"414",2019-03-12,"CHOQUE","MARTES",2019,0,86
"415",2019-03-12,"INCENDIO","MARTES",2019,0,1
"416",2019-03-12,"OTRO","MARTES",2019,0,14
"417",2019-03-12,"VOLCAMIENTO","MARTES",2019,0,4
"418",2019-03-13,"ATROPELLO","MIERCOLES",2019,0,13
"419",2019-03-13,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"420",2019-03-13,"CHOQUE","MIERCOLES",2019,0,84
