"","Dia","Semana","Mes","Clase","Cantidad_real","Cantidad_Predicha","Grupo_pro"
"97",20,NA,NA,"caida_ocupante",134,108,"Diario"
"98",20,NA,NA,"choque",931,889,"Diario"
"99",20,NA,NA,"incendio",122,110,"Diario"
"100",20,NA,NA,"otro",40,34,"Diario"
"101",21,NA,NA,"atropello",131,101,"Diario"
"102",21,NA,NA,"caida_ocupante",121,76,"Diario"
"103",21,NA,NA,"choque",971,938,"Diario"
"104",21,NA,NA,"incendio",112,93,"Diario"
"105",21,NA,NA,"otro",29,16,"Diario"
"106",22,NA,NA,"atropello",120,100,"Diario"
"107",22,NA,NA,"caida_ocupante",117,124,"Diario"
"108",22,NA,NA,"choque",936,853,"Diario"
"109",22,NA,NA,"incendio",103,121,"Diario"
"110",22,NA,NA,"otro",41,12,"Diario"
"111",23,NA,NA,"atropello",128,128,"Diario"
"112",23,NA,NA,"caida_ocupante",122,120,"Diario"
"113",23,NA,NA,"choque",1053,970,"Diario"
"114",23,NA,NA,"incendio",118,119,"Diario"
